attributed_resource,description,list_attributes,list_metrics,list_segments,resource_name,segmenting_resource,with_metrics
customer,<p>Represent an invitation to a new user on this customer account.</p>,"customer_user_access_invitation.access_role,customer_user_access_invitation.creation_date_time,customer_user_access_invitation.email_address,customer_user_access_invitation.invitation_id,customer_user_access_invitation.invitation_status,customer_user_access_invitation.resource_name",None,None,Customer User Access Invitation,None,0
"campaign,customer","<p>A category generated automatically by crawling a domain. If a campaign uses the DynamicSearchAdsSetting, then domain categories will be generated for the domain. The categories can be targeted using WebpageConditionInfo. See: <a href=""https://support.google.com/google-ads/answer/2471185"">https://support.google.com/google-ads/answer/2471185</a></p>","domain_category.campaign,domain_category.category,domain_category.category_rank,domain_category.coverage_fraction,domain_category.domain,domain_category.has_children,domain_category.language_code,domain_category.recommended_cpc_bid_micros,domain_category.resource_name",None,None,Domain Category,None,0
"customer,mobile_app_category_constant,shared_set",<p>A negative criterion for exclusions at the customer level.</p>,"customer_negative_criterion.content_label.type,customer_negative_criterion.id,customer_negative_criterion.mobile_app_category.mobile_app_category_constant,customer_negative_criterion.mobile_application.app_id,customer_negative_criterion.mobile_application.name,customer_negative_criterion.negative_keyword_list.shared_set,customer_negative_criterion.placement.url,customer_negative_criterion.resource_name,customer_negative_criterion.type,customer_negative_criterion.youtube_channel.channel_id,customer_negative_criterion.youtube_video.video_id",None,None,Customer Negative Criterion,None,0
customer,<p>Represents the permission of a single user onto a single customer.</p>,"customer_user_access.access_creation_date_time,customer_user_access.access_role,customer_user_access.email_address,customer_user_access.inviter_user_email_address,customer_user_access.resource_name,customer_user_access.user_id",None,None,Customer User Access,None,0
customer,<p>Represents customer-manager link relationship.</p>,"customer_manager_link.manager_customer,customer_manager_link.manager_link_id,customer_manager_link.resource_name,customer_manager_link.status",None,None,Customer Manager Link,None,0
customer,"<p>A customizer attribute. Use CustomerCustomizer, CampaignCustomizer, AdGroupCustomizer, or AdGroupCriterionCustomizer to associate a customizer attribute and set its value at the customer, campaign, ad group, or ad group criterion level, respectively.</p>","customizer_attribute.id,customizer_attribute.name,customizer_attribute.resource_name,customizer_attribute.status,customizer_attribute.type",None,None,Customizer Attribute,None,0
customer,<p>A customer extension setting.</p>,"customer_extension_setting.device,customer_extension_setting.extension_feed_items,customer_extension_setting.extension_type,customer_extension_setting.resource_name",None,None,Customer Extension Setting,None,0
customer,<p>Represents a relationship between a customer and a label. This customer may not have access to all the labels attached to it. Additional CustomerLabels may be returned by increasing permissions with login-customer-id.</p>,"customer_label.customer,customer_label.label,customer_label.resource_name",None,None,Customer Label,None,0
customer,<p>Biddability control for conversion actions with a matching category and origin.</p>,"customer_conversion_goal.biddable,customer_conversion_goal.category,customer_conversion_goal.origin,customer_conversion_goal.resource_name",None,None,Customer Conversion Goal,None,0
"asset_set,customer",<p>CustomerAssetSet is the linkage between a customer and an asset set. Adding a CustomerAssetSet links an asset set with a customer.</p>,"customer_asset_set.asset_set,customer_asset_set.customer,customer_asset_set.resource_name,customer_asset_set.status",None,None,Customer Asset Set,None,0
"customer,customizer_attribute",<p>A customizer value for the associated CustomizerAttribute at the Customer level.</p>,"customer_customizer.customizer_attribute,customer_customizer.resource_name,customer_customizer.status,customer_customizer.value.string_value,customer_customizer.value.type",None,None,Customer Customizer,None,0
"customer,feed",<p>A customer feed.</p>,"customer_feed.feed,customer_feed.matching_function.function_string,customer_feed.matching_function.left_operands,customer_feed.matching_function.operator,customer_feed.matching_function.right_operands,customer_feed.placeholder_types,customer_feed.resource_name,customer_feed.status",None,None,Customer Feed,None,0
customer,"<p>A link between the given customer and a client customer. CustomerClients only exist for manager customers. All direct and indirect client customers are included, as well as the manager itself.</p>","customer_client.applied_labels,customer_client.client_customer,customer_client.currency_code,customer_client.descriptive_name,customer_client.hidden,customer_client.id,customer_client.level,customer_client.manager,customer_client.resource_name,customer_client.status,customer_client.test_account,customer_client.time_zone",None,None,Customer Client,None,0
customer,<p>A custom interest. This is a list of users by interest.</p>,"custom_interest.description,custom_interest.id,custom_interest.members,custom_interest.name,custom_interest.resource_name,custom_interest.status,custom_interest.type",None,None,Custom Interest,None,0
customer,<p>Represents customer client link relationship.</p>,"customer_client_link.client_customer,customer_client_link.hidden,customer_client_link.manager_link_id,customer_client_link.resource_name,customer_client_link.status",None,None,Customer Client Link,None,0
customer,<p>A custom audience. This is a list of users by interest.</p>,"custom_audience.description,custom_audience.id,custom_audience.members,custom_audience.name,custom_audience.resource_name,custom_audience.status,custom_audience.type",None,None,Custom Audience,None,0
None,<p>A currency constant.</p>,"currency_constant.billable_unit_micros,currency_constant.code,currency_constant.name,currency_constant.resource_name,currency_constant.symbol",None,None,Currency Constant,None,0
customer,<p>A conversion value rule set</p>,"conversion_value_rule_set.attachment_type,conversion_value_rule_set.campaign,conversion_value_rule_set.conversion_action_categories,conversion_value_rule_set.conversion_value_rules,conversion_value_rule_set.dimensions,conversion_value_rule_set.id,conversion_value_rule_set.owner_customer,conversion_value_rule_set.resource_name,conversion_value_rule_set.status",None,None,Conversion Value Rule Set,None,0
"campaign,custom_conversion_goal,customer",<p>Conversion goal settings for a Campaign.</p>,"conversion_goal_campaign_config.campaign,conversion_goal_campaign_config.custom_conversion_goal,conversion_goal_campaign_config.goal_config_level,conversion_goal_campaign_config.resource_name",None,None,Conversion Goal Campaign Config,None,0
customer,<p>Custom conversion goal that can make arbitrary conversion actions biddable.</p>,"custom_conversion_goal.conversion_actions,custom_conversion_goal.id,custom_conversion_goal.name,custom_conversion_goal.resource_name,custom_conversion_goal.status",None,None,Custom Conversion Goal,None,0
"ad_group,asset,campaign,customer,feed,feed_item",<p>Describes the granular change of returned resources of certain resource types. Changes made through the UI or API in the past 30 days are included. Previous and new values of the changed fields are shown. ChangeEvent could have up to 3 minutes delay to reflect a new change.</p>,"change_event.ad_group,change_event.asset,change_event.campaign,change_event.change_date_time,change_event.change_resource_name,change_event.change_resource_type,change_event.changed_fields,change_event.client_type,change_event.feed,change_event.feed_item,change_event.new_resource,change_event.old_resource,change_event.resource_change_operation,change_event.resource_name,change_event.user_email",None,None,Change Event,None,0
customer,<p>A conversion value rule</p>,"conversion_value_rule.action.operation,conversion_value_rule.action.value,conversion_value_rule.audience_condition.user_interests,conversion_value_rule.audience_condition.user_lists,conversion_value_rule.device_condition.device_types,conversion_value_rule.geo_location_condition.excluded_geo_match_type,conversion_value_rule.geo_location_condition.excluded_geo_target_constants,conversion_value_rule.geo_location_condition.geo_match_type,conversion_value_rule.geo_location_condition.geo_target_constants,conversion_value_rule.id,conversion_value_rule.owner_customer,conversion_value_rule.resource_name,conversion_value_rule.status",None,None,Conversion Value Rule,None,0
customer,"<p>A conversion custom variable See ""About custom variables for conversions"" at <a href=""https://support.google.com/google-ads/answer/9964350"">https://support.google.com/google-ads/answer/9964350</a></p>","conversion_custom_variable.id,conversion_custom_variable.name,conversion_custom_variable.owner_customer,conversion_custom_variable.resource_name,conversion_custom_variable.status,conversion_custom_variable.tag",None,None,Conversion Custom Variable,None,0
customer,<p>Describe a resource for combined audiences which includes different audiences.</p>,"combined_audience.description,combined_audience.id,combined_audience.name,combined_audience.resource_name,combined_audience.status",None,None,Combined Audience,None,0
None,<p>A carrier criterion that can be used in campaign targeting.</p>,"carrier_constant.country_code,carrier_constant.id,carrier_constant.name,carrier_constant.resource_name",None,None,Carrier Constant,None,0
"ad_group,asset,campaign,combined_audience,customer,feed,feed_item,shared_set",<p>Describes the status of returned resource. ChangeStatus could have up to 3 minutes delay to reflect a new change.</p>,"change_status.ad_group,change_status.ad_group_ad,change_status.ad_group_asset,change_status.ad_group_bid_modifier,change_status.ad_group_criterion,change_status.ad_group_feed,change_status.asset,change_status.campaign,change_status.campaign_asset,change_status.campaign_criterion,change_status.campaign_feed,change_status.campaign_shared_set,change_status.combined_audience,change_status.customer_asset,change_status.feed,change_status.feed_item,change_status.last_change_date_time,change_status.resource_name,change_status.resource_status,change_status.resource_type,change_status.shared_set",None,None,Change Status,None,0
"campaign,customer",<p>A campaign extension setting.</p>,"campaign_extension_setting.campaign,campaign_extension_setting.device,campaign_extension_setting.extension_feed_items,campaign_extension_setting.extension_type,campaign_extension_setting.resource_name",None,None,Campaign Extension Setting,None,0
"campaign,customer,shared_set",<p>CampaignSharedSets are used for managing the shared sets associated with a campaign.</p>,"campaign_shared_set.campaign,campaign_shared_set.resource_name,campaign_shared_set.shared_set,campaign_shared_set.status",None,None,Campaign Shared Set,None,0
"campaign,customer,label",<p>Represents a relationship between a campaign and a label.</p>,"campaign_label.campaign,campaign_label.label,campaign_label.resource_name",None,None,Campaign Label,None,0
"campaign,customer","<p>A campaign simulation. Supported combinations of advertising channel type, simulation type and simulation modification method is detailed below respectively. * SEARCH - CPC_BID - UNIFORM * SEARCH - CPC_BID - SCALING * SEARCH - TARGET_CPA - UNIFORM * SEARCH - TARGET_CPA - SCALING * SEARCH - TARGET_ROAS - UNIFORM * SEARCH - TARGET_IMPRESSION_SHARE - UNIFORM * SEARCH - BUDGET - UNIFORM * SHOPPING - BUDGET - UNIFORM * SHOPPING - TARGET_ROAS - UNIFORM * MULTI_CHANNEL - TARGET_CPA - UNIFORM * DISCOVERY - TARGET_CPA - DEFAULT * DISPLAY - TARGET_CPA - UNIFORM * PERFORMANCE_MAX - TARGET_CPA - UNIFORM * PERFORMANCE_MAX - TARGET_ROAS - UNIFORM * PERFORMANCE_MAX - BUDGET - UNIFORM</p>","campaign_simulation.budget_point_list.points,campaign_simulation.campaign_id,campaign_simulation.cpc_bid_point_list.points,campaign_simulation.end_date,campaign_simulation.modification_method,campaign_simulation.resource_name,campaign_simulation.start_date,campaign_simulation.target_cpa_point_list.points,campaign_simulation.target_impression_share_point_list.points,campaign_simulation.target_roas_point_list.points,campaign_simulation.type",None,None,Campaign Simulation,None,0
"campaign,customer,customizer_attribute",<p>A customizer value for the associated CustomizerAttribute at the Campaign level.</p>,"campaign_customizer.campaign,campaign_customizer.customizer_attribute,campaign_customizer.resource_name,campaign_customizer.status,campaign_customizer.value.string_value,campaign_customizer.value.type",None,None,Campaign Customizer,None,0
"campaign,customer,feed",<p>A campaign feed.</p>,"campaign_feed.campaign,campaign_feed.feed,campaign_feed.matching_function.function_string,campaign_feed.matching_function.left_operands,campaign_feed.matching_function.operator,campaign_feed.matching_function.right_operands,campaign_feed.placeholder_types,campaign_feed.resource_name,campaign_feed.status",None,None,Campaign Feed,None,0
"campaign,carrier_constant,customer,feed,language_constant,mobile_app_category_constant,mobile_device_constant,operating_system_version_constant,topic_constant,user_interest,user_list",<p>A campaign criterion.</p>,"campaign_criterion.ad_schedule.day_of_week,campaign_criterion.ad_schedule.end_hour,campaign_criterion.ad_schedule.end_minute,campaign_criterion.ad_schedule.start_hour,campaign_criterion.ad_schedule.start_minute,campaign_criterion.age_range.type,campaign_criterion.bid_modifier,campaign_criterion.campaign,campaign_criterion.carrier.carrier_constant,campaign_criterion.combined_audience.combined_audience,campaign_criterion.content_label.type,campaign_criterion.criterion_id,campaign_criterion.custom_affinity.custom_affinity,campaign_criterion.custom_audience.custom_audience,campaign_criterion.device.type,campaign_criterion.display_name,campaign_criterion.gender.type,campaign_criterion.income_range.type,campaign_criterion.ip_block.ip_address,campaign_criterion.keyword.match_type,campaign_criterion.keyword.text,campaign_criterion.keyword_theme.free_form_keyword_theme,campaign_criterion.keyword_theme.keyword_theme_constant,campaign_criterion.language.language_constant,campaign_criterion.listing_scope.dimensions,campaign_criterion.listing_scope.dimensions.activity_country.value,campaign_criterion.listing_scope.dimensions.hotel_city.city_criterion,campaign_criterion.listing_scope.dimensions.hotel_country_region.country_region_criterion,campaign_criterion.listing_scope.dimensions.hotel_state.state_criterion,campaign_criterion.local_service_id.service_id,campaign_criterion.location.geo_target_constant,campaign_criterion.location_group,campaign_criterion.location_group.enable_customer_level_location_asset_set,campaign_criterion.location_group.feed,campaign_criterion.location_group.geo_target_constants,campaign_criterion.mobile_app_category.mobile_app_category_constant,campaign_criterion.mobile_application.app_id,campaign_criterion.mobile_application.name,campaign_criterion.mobile_device.mobile_device_constant,campaign_criterion.negative,campaign_criterion.operating_system_version.operating_system_version_constant,campaign_criterion.parental_status.type,campaign_criterion.placement.url,campaign_criterion.proximity.address.city_name,campaign_criterion.proximity.address.country_code,campaign_criterion.proximity.address.postal_code,campaign_criterion.proximity.address.province_code,campaign_criterion.proximity.address.province_name,campaign_criterion.proximity.address.street_address,campaign_criterion.proximity.geo_point.latitude_in_micro_degrees,campaign_criterion.proximity.geo_point.longitude_in_micro_degrees,campaign_criterion.proximity.radius,campaign_criterion.proximity.radius_units,campaign_criterion.resource_name,campaign_criterion.status,campaign_criterion.topic.path,campaign_criterion.topic.topic_constant,campaign_criterion.type,campaign_criterion.user_interest.user_interest_category,campaign_criterion.user_list.user_list,campaign_criterion.webpage.conditions,campaign_criterion.webpage.coverage_percentage,campaign_criterion.webpage.criterion_name,campaign_criterion.webpage.sample.sample_urls,campaign_criterion.youtube_channel.channel_id,campaign_criterion.youtube_video.video_id",None,None,Campaign Criterion,None,0
"campaign,customer",<p>The biddability setting for the specified campaign only for all conversion actions with a matching category and origin.</p>,"campaign_conversion_goal.biddable,campaign_conversion_goal.campaign,campaign_conversion_goal.category,campaign_conversion_goal.origin,campaign_conversion_goal.resource_name",None,None,Campaign Conversion Goal,None,0
"ad_group,campaign,customer",<p>A call view that includes data for call tracking of call-only ads or call extensions.</p>,"call_view.call_duration_seconds,call_view.call_status,call_view.call_tracking_display_location,call_view.caller_area_code,call_view.caller_country_code,call_view.end_call_date_time,call_view.resource_name,call_view.start_call_date_time,call_view.type",None,None,Call View,None,0
"bidding_strategy,customer",<p>A bidding strategy simulation. Supported combinations of simulation type and simulation modification method are detailed below respectively. 1. TARGET_CPA - UNIFORM 2. TARGET_ROAS - UNIFORM</p>,"bidding_strategy_simulation.bidding_strategy_id,bidding_strategy_simulation.end_date,bidding_strategy_simulation.modification_method,bidding_strategy_simulation.resource_name,bidding_strategy_simulation.start_date,bidding_strategy_simulation.target_cpa_point_list.points,bidding_strategy_simulation.target_roas_point_list.points,bidding_strategy_simulation.type",None,None,Bidding Strategy Simulation,None,0
"asset_set,campaign,customer",<p>CampaignAssetSet is the linkage between a campaign and an asset set. Adding a CampaignAssetSet links an asset set with a campaign.</p>,"campaign_asset_set.asset_set,campaign_asset_set.campaign,campaign_asset_set.resource_name,campaign_asset_set.status",None,None,Campaign Asset Set,None,0
"campaign,customer",<p>A campaign draft.</p>,"campaign_draft.base_campaign,campaign_draft.draft_campaign,campaign_draft.draft_id,campaign_draft.has_experiment_running,campaign_draft.long_running_operation,campaign_draft.name,campaign_draft.resource_name,campaign_draft.status",None,None,Campaign Draft,None,0
customer,"<p>Represents a bidding seasonality adjustment. See ""About seasonality adjustments"" at <a href=""https://support.google.com/google-ads/answer/10369906"">https://support.google.com/google-ads/answer/10369906</a>.</p>","bidding_seasonality_adjustment.advertising_channel_types,bidding_seasonality_adjustment.campaigns,bidding_seasonality_adjustment.conversion_rate_modifier,bidding_seasonality_adjustment.description,bidding_seasonality_adjustment.devices,bidding_seasonality_adjustment.end_date_time,bidding_seasonality_adjustment.name,bidding_seasonality_adjustment.resource_name,bidding_seasonality_adjustment.scope,bidding_seasonality_adjustment.seasonality_adjustment_id,bidding_seasonality_adjustment.start_date_time,bidding_seasonality_adjustment.status",None,None,Bidding Seasonality Adjustment,None,0
customer,<p>A list of mutates being processed asynchronously. The mutates are uploaded by the user. The mutates themselves aren't readable and the results of the job can only be read using BatchJobService.ListBatchJobResults.</p>,"batch_job.id,batch_job.long_running_operation,batch_job.metadata.completion_date_time,batch_job.metadata.creation_date_time,batch_job.metadata.estimated_completion_ratio,batch_job.metadata.executed_operation_count,batch_job.metadata.execution_limit_seconds,batch_job.metadata.operation_count,batch_job.metadata.start_date_time,batch_job.next_add_sequence_token,batch_job.resource_name,batch_job.status",None,None,Batch Job,None,0
"ad_group,campaign,customer","<p>An ad group simulation. Supported combinations of advertising channel type, simulation type and simulation modification method is detailed below respectively. 1. SEARCH - CPC_BID - DEFAULT 2. SEARCH - CPC_BID - UNIFORM 3. SEARCH - TARGET_CPA - UNIFORM 4. SEARCH - TARGET_ROAS - UNIFORM 5. DISPLAY - CPC_BID - DEFAULT 6. DISPLAY - CPC_BID - UNIFORM 7. DISPLAY - TARGET_CPA - UNIFORM</p>","ad_group_simulation.ad_group_id,ad_group_simulation.cpc_bid_point_list.points,ad_group_simulation.cpv_bid_point_list.points,ad_group_simulation.end_date,ad_group_simulation.modification_method,ad_group_simulation.resource_name,ad_group_simulation.start_date,ad_group_simulation.target_cpa_point_list.points,ad_group_simulation.target_roas_point_list.points,ad_group_simulation.type",None,None,Ad Group Simulation,None,0
customer,"<p>Represents a bidding data exclusion. See ""About data exclusions"" at <a href=""https://support.google.com/google-ads/answer/10370710"">https://support.google.com/google-ads/answer/10370710</a>.</p>","bidding_data_exclusion.advertising_channel_types,bidding_data_exclusion.campaigns,bidding_data_exclusion.data_exclusion_id,bidding_data_exclusion.description,bidding_data_exclusion.devices,bidding_data_exclusion.end_date_time,bidding_data_exclusion.name,bidding_data_exclusion.resource_name,bidding_data_exclusion.scope,bidding_data_exclusion.start_date_time,bidding_data_exclusion.status",None,None,Bidding Data Exclusion,None,0
customer,"<p>A billing setup, which associates a payments account and an advertiser. A billing setup is specific to one advertiser.</p>","billing_setup.end_date_time,billing_setup.end_time_type,billing_setup.id,billing_setup.payments_account,billing_setup.payments_account_info.payments_account_id,billing_setup.payments_account_info.payments_account_name,billing_setup.payments_account_info.payments_profile_id,billing_setup.payments_account_info.payments_profile_name,billing_setup.payments_account_info.secondary_payments_profile_id,billing_setup.resource_name,billing_setup.start_date_time,billing_setup.status",None,None,Billing Setup,None,0
"ad_group,ad_group_criterion,campaign,customer","<p>An ad parameter that is used to update numeric values (such as prices or inventory levels) in any text line of an ad (including URLs). There can be a maximum of two AdParameters per ad group criterion. (One with parameter_index = 1 and one with parameter_index = 2.) In the ad the parameters are referenced by a placeholder of the form ""{param#:value}"". For example, ""{param1:$17}""</p>","ad_parameter.ad_group_criterion,ad_parameter.insertion_text,ad_parameter.parameter_index,ad_parameter.resource_name",None,None,Ad Parameter,None,0
"ad_group,campaign,customer,label",<p>A relationship between an ad group and a label.</p>,"ad_group_label.ad_group,ad_group_label.label,ad_group_label.resource_name",None,None,Ad Group Label,None,0
"ad_group,campaign,customer,feed",<p>An ad group feed.</p>,"ad_group_feed.ad_group,ad_group_feed.feed,ad_group_feed.matching_function.function_string,ad_group_feed.matching_function.left_operands,ad_group_feed.matching_function.operator,ad_group_feed.matching_function.right_operands,ad_group_feed.placeholder_types,ad_group_feed.resource_name,ad_group_feed.status",None,None,Ad Group Feed,None,0
"ad_group,campaign,customer",<p>An ad group extension setting.</p>,"ad_group_extension_setting.ad_group,ad_group_extension_setting.device,ad_group_extension_setting.extension_feed_items,ad_group_extension_setting.extension_type,ad_group_extension_setting.resource_name",None,None,Ad Group Extension Setting,None,0
customer,<p>An asset set representing a collection of assets. Use AssetSetAsset to link an asset to the asset set.</p>,"asset_set.business_profile_location_group.dynamic_business_profile_location_group_filter.business_name_filter.business_name,asset_set.business_profile_location_group.dynamic_business_profile_location_group_filter.business_name_filter.filter_type,asset_set.business_profile_location_group.dynamic_business_profile_location_group_filter.label_filters,asset_set.business_profile_location_group.dynamic_business_profile_location_group_filter.listing_id_filters,asset_set.hotel_property_data.hotel_center_id,asset_set.hotel_property_data.partner_name,asset_set.id,asset_set.location_group_parent_asset_set_id,asset_set.location_set.business_profile_location_set.business_name_filter,asset_set.location_set.business_profile_location_set.label_filters,asset_set.location_set.business_profile_location_set.listing_id_filters,asset_set.location_set.chain_location_set.relationship_type,asset_set.location_set.location_ownership_type,asset_set.merchant_center_feed.feed_label,asset_set.merchant_center_feed.merchant_id,asset_set.name,asset_set.resource_name,asset_set.status,asset_set.type",None,None,Asset Set,None,0
"ad_group,campaign,customer,customizer_attribute",<p>A customizer value for the associated CustomizerAttribute at the AdGroup level.</p>,"ad_group_customizer.ad_group,ad_group_customizer.customizer_attribute,ad_group_customizer.resource_name,ad_group_customizer.status,ad_group_customizer.value.string_value,ad_group_customizer.value.type",None,None,Ad Group Customizer,None,0
customer,"<p>Audience is an effective targeting option that lets you intersect different segment attributes, such as detailed demographics and affinities, to create audiences that represent sections of your target segments.</p>","audience.description,audience.dimensions,audience.dimensions.audience_segments.segments.custom_audience.custom_audience,audience.dimensions.audience_segments.segments.detailed_demographic.detailed_demographic,audience.dimensions.audience_segments.segments.life_event.life_event,audience.dimensions.audience_segments.segments.user_interest.user_interest_category,audience.dimensions.audience_segments.segments.user_list.user_list,audience.exclusion_dimension,audience.exclusion_dimension.exclusions.user_list.user_list,audience.id,audience.name,audience.resource_name,audience.status",None,None,Audience,None,0
